IID,salso,nTotal_pred
NDAR_INVAPL25X3B,1,-2771.3655370517567
NDAR_INVARHC5HBJ,5,-0.5769384020005216
NDAR_INVAU57LP5P,1,0.9160786487579206
NDAR_INVAUG6P848,1,-3.6347873903132206
NDAR_INVAWMVEC49,2,-51008.186204164165
NDAR_INVAWR7CA19,5,-1.3048422427155344
NDAR_INVAX8FD7BZ,2,-23014.313460477257
NDAR_INVAXGVYABC,5,-835.7755719021101
NDAR_INVAXWA8CAE,2,-3262.421617280759
NDAR_INVAYC2PLB5,1,-0.3754893836675265
NDAR_INVAZ4ZE28H,1,3.46935399989491
NDAR_INVAZCBM6MW,5,-0.620059470887427
NDAR_INVB05L3CJ5,5,-2.585543419326745
NDAR_INVB1T0LLC8,2,-45654.8051878329
NDAR_INVB5XPKWGZ,2,-1242.9000110264446
NDAR_INVB7BG5TYR,5,-4.117579516501628
NDAR_INVB7CBMZ2F,1,-1.0485162161199548
NDAR_INVB8G9KFMC,1,-212.09404008374395
NDAR_INVB8W8N3ME,5,-254.4542166076054
NDAR_INVBBH4GW2D,5,-10012.006410756858
NDAR_INVBCMXWCV0,5,-4.99667761425882
NDAR_INVBDTGBXYZ,1,-169.66858858617366
NDAR_INVBEGMET5J,1,-18759.43611915712
NDAR_INVBJUT8TR0,1,22065.778160898913
NDAR_INVBK0V5AJK,1,0.06795311005344447
NDAR_INVBMFRB748,5,-4.182239636112114
NDAR_INVBNGM6V1R,2,-0.4737524637857964
NDAR_INVBPB9W02P,5,-1.6679991094003992
NDAR_INVBPBXFDRZ,5,31765.488358300943
NDAR_INVBR7WZCN7,1,0.6380429684523058
NDAR_INVBRMGY929,5,-1.6774573872414085
NDAR_INVBRT7E7UK,1,6231.277934465924
NDAR_INVBU9KJZX7,2,-1.299948173296595
NDAR_INVBUT20X7W,1,-0.46252359784692654
NDAR_INVBUWRGTG6,2,-2.322929543681131
NDAR_INVBVJYW4PY,1,-3.7360505549341276
NDAR_INVBVK1GET3,1,294.4460046065775
NDAR_INVBWFE6KU6,1,1.6819751123503226
NDAR_INVBWTD7W8G,1,11402.42195894231
NDAR_INVBWZ4GF6V,1,55.85315446682987
NDAR_INVBXR1L7N8,1,685.6337836488514
NDAR_INVBZTF233W,2,-0.6543923071333794
NDAR_INVBZZYL1L5,3,-1.3599516262867257
NDAR_INVC157K1KH,1,-46.12246063782568
NDAR_INVC1TLGE8E,1,4619.549355388699
NDAR_INVC25XBH2T,5,-1.7382799869251533
NDAR_INVC2ZLETPN,5,-0.41553162366121843
NDAR_INVC53PW1V8,5,-2.6426774159685356
NDAR_INVC6MPJ7ZF,1,293.1231459639571
NDAR_INVC861LGDC,5,-3.1007472166305723
NDAR_INVC9YL3K7V,2,-652.2819203960021
NDAR_INVCA6UX1YE,1,-1.7152531504747472
NDAR_INVCB3T3T8X,2,0.4800817779124364
NDAR_INVCCYUB5TM,1,-2.085535385280577
NDAR_INVCDNXAUT3,1,-914.6742685887211
NDAR_INVCEGFEM93,5,2904.6241043084638
NDAR_INVCGBM7G8T,3,-0.03130386399513127
NDAR_INVCK8WM58K,3,-2.5708096746003446
NDAR_INVCKTT8HAT,2,1535.3036784876338
NDAR_INVCL1R63XL,1,-10859.679408823833
NDAR_INVCL50XAPB,1,5476.483247613126
NDAR_INVCL9HK006,2,0.39218055854933503
NDAR_INVCP3Z2564,1,189.25362718146334
NDAR_INVCP854T1A,1,-1.9102333766171402
NDAR_INVCRM6V6NX,1,-1956.8047905614467
NDAR_INVCTM83NPV,1,79.48467163063772
NDAR_INVCY4X20TC,2,-1.6677594267126925
NDAR_INVCYD11BRB,3,-4.3987698416348895
NDAR_INVCYMF7WT5,2,-1.4332362495132047
NDAR_INVCZLHZX4C,1,-2.499212099107224
NDAR_INVD176PR5Y,5,-2.6434714226044225
NDAR_INVD1C3Z8TZ,1,-0.7200713970896813
NDAR_INVD1PL1RD3,2,-2.1537455327450052
NDAR_INVD3H6KFFT,5,-2.7492555129172827
NDAR_INVD4LYED11,1,-1.1723958371704142
NDAR_INVD5P9PY9L,1,-2.230369442876641
NDAR_INVD5XAZXJG,1,0.9741885765421584
NDAR_INVD66M522R,1,-2992.1764300328546
NDAR_INVD6PPNY0N,1,1.3392021792177853
NDAR_INVD7RR0C8L,5,-1.3588153479000942
NDAR_INVD96NU5LH,5,-4.665798277694778
NDAR_INVD9GD4VKM,1,0.3200437019391163
NDAR_INVD9WZ5K8Y,2,-2.1473605251542502
NDAR_INVDAF6VRMG,5,-3.766742149449235
NDAR_INVDAYVFF0J,2,-0.527818138289845
NDAR_INVDBBYXNYH,5,-3.616592617393589
NDAR_INVDDWUHYTJ,1,-4.856012445474461
NDAR_INVDEHN3PH7,1,0.19952163654334798
NDAR_INVDG4FUC70,2,8185.5064431555575
NDAR_INVDG951Z11,2,-0.8968337475671695
NDAR_INVDGTRNE7V,1,0.11651957962338355
NDAR_INVDHVY95MH,2,-566.1159870322111
NDAR_INVDJHUKGLH,1,-0.7197248346982802
NDAR_INVDJU1GZNN,1,1.4123992364129119
NDAR_INVDLR8T512,1,-518.350613563807
NDAR_INVDPU8752W,2,-26880.349254399316
NDAR_INVDRM97DTU,2,-93374.39394383463
NDAR_INVDRRTEW06,1,4411.1459873859685
NDAR_INVDTRERMG2,1,-1.092916745721089
NDAR_INVDTWEMX2Z,3,-0.5538428447720412
NDAR_INVDU8NAVRN,1,-0.2814023667500177
NDAR_INVDUJJ740F,2,0.1536643120905978
NDAR_INVDWDV4K53,2,-0.432902234568989
NDAR_INVDWGT6R32,1,46475.0988301431
NDAR_INVDWKHJ8MG,5,-3.0341374111707373
NDAR_INVDY0X871X,2,-0.13346690344434592
NDAR_INVDYPE3LNV,1,5566.0962661092835
NDAR_INVE0FCTWAR,2,-2.4816666549805895
NDAR_INVE198R99Y,2,-159.75601548236665
NDAR_INVE1XNAPC7,2,0.6186718807770253
NDAR_INVE2BD0XE6,5,-2.545500342250153
NDAR_INVE3F19GUV,5,3111.73674263549
NDAR_INVE3V8C4N5,1,3.0351743062874452
NDAR_INVE4BZT1U8,2,1.924748664897096
NDAR_INVE4PWCYC0,5,21505.127292939622
NDAR_INVE56RVCP5,1,-2861.9195498642107
NDAR_INVEBFULY5Y,1,924.8257813903804
NDAR_INVEBYKBJ5Z,5,-1.7068973191711119
NDAR_INVED9YFTFB,1,-0.44527790231296094
NDAR_INVEDBGH2KG,2,-0.4217269111604214
NDAR_INVEFCEPKCD,3,-4.067026703958886
NDAR_INVEHM6WFDX,1,0.5796286229255995
NDAR_INVEJ2BUCAH,1,4.994503456928467
NDAR_INVEK9B02NP,2,-2.262962674917808
NDAR_INVEKL2JGYR,2,15844.857064428332
NDAR_INVEPENTXVB,2,23020.635249544503
NDAR_INVEPFAURHA,1,3.9036861577047683
NDAR_INVEPM1GJ03,2,5441.38373508432
NDAR_INVERWG31K7,1,1.6702232919410076
NDAR_INVET1RUD2W,5,-1.780086457464601
NDAR_INVETEZAGR2,3,395.0051712383155
NDAR_INVETWT6P43,5,-46003.16443588594
NDAR_INVEV8YYACG,2,2.132999538732685
NDAR_INVEVC26KZ4,2,-0.5858543509404406
NDAR_INVEVN2CFJL,2,-3.492149298921788
NDAR_INVEWHRTRC2,2,5880.157008742822
NDAR_INVEXB1B45G,1,-4303.509096595172
NDAR_INVEXWHLUB5,2,-23972.91828914531
NDAR_INVF0KJB1P2,1,1.164075244427396
NDAR_INVF28KN8WU,1,-0.07727896113883012
NDAR_INVF3Y1JRRP,3,-2.3830382470976605
NDAR_INVF4Z1R5WK,1,2.9534702154463828
NDAR_INVF5AE11V8,1,2059.7093802711797
NDAR_INVF6784XR4,1,-3391.0575581503035
NDAR_INVF735JEHL,1,0.23008114270560195
